avg_dep,airport,num_obs,datetime,avg_weather
14.25,ABE,4.0,2018-03-17,Clear
12.0,ABE,3.0,2018-03-18,Clear
10.666666666666666,ABE,3.0,2018-03-19,Rain Light
13.0,ABE,2.0,2018-03-20,Clear
45.33333333333334,ABE,3.0,2018-03-21,Snow Light
8.0,ABE,3.0,2018-03-22,Clear
16.0,ABE,3.0,2018-03-23,Clear
14.75,ABE,4.0,2018-03-24,Clear
6.0,ABE,3.0,2018-03-25,Snow Light
18.0,ABE,3.0,2018-03-26,Rain Light
0.0,ABE,2.0,2018-03-27,Rain Light
-3.6666666666666665,ABE,3.0,2018-03-28,Rain Light
17.333333333333332,ABE,3.0,2018-03-29,Rain Light
164.66666666666666,ABE,3.0,2018-03-30,Rain Light
28.75,ABE,4.0,2018-03-31,Clear
-4.666666666666667,ABE,3.0,2018-04-01,Clear
-6.0,ABE,3.0,2018-04-02,Snow Light
-0.5,ABE,2.0,2018-04-03,Rain Light
8.333333333333334,ABE,3.0,2018-04-04,Fog Severe
-11.5,ABE,2.0,2018-04-05,Clear
39.333333333333336,ABE,3.0,2018-04-06,Clear
-0.25,ABE,4.0,2018-04-07,Clear
-1.0,ABE,2.0,2018-04-08,Clear
-0.3333333333333333,ABE,3.0,2018-04-09,Clear
36.0,ABE,2.0,2018-04-10,Snow Light
28.33333333333333,ABE,3.0,2018-04-11,Clear
-6.0,ABE,2.0,2018-04-12,Rain Light
130.33333333333334,ABE,3.0,2018-04-13,Clear
4.75,ABE,4.0,2018-04-14,Clear
-0.5,ABE,2.0,2018-04-15,Fog Moderate
7.0,ABE,2.0,2018-04-16,Rain Light
2.5,ABE,2.0,2018-04-17,Rain Light
12.0,ABE,3.0,2018-04-18,Clear
-6.0,ABE,2.0,2018-04-19,Rain Light
29.33333333333333,ABE,3.0,2018-04-20,Clear
0.5,ABE,4.0,2018-04-21,Clear
17.0,ABE,2.0,2018-04-22,Clear
-6.0,ABE,3.0,2018-04-23,Clear
0.0,ABE,1.0,2018-04-24,Clear
9.0,ABE,3.0,2018-04-25,Rain Light
0.5,ABE,2.0,2018-04-26,Clear
71.0,ABE,3.0,2018-04-27,Rain Light
15.75,ABE,4.0,2018-04-28,Rain Light
-7.5,ABE,2.0,2018-04-29,Rain Light
-5.333333333333333,ABE,3.0,2018-04-30,Clear
0.0,ABE,1.0,2018-05-01,Clear
4.0,ABE,3.0,2018-05-02,Clear
13.5,ABE,2.0,2018-05-03,Rain Moderate
-3.333333333333333,ABE,3.0,2018-05-04,Rain Light
45.0,ABE,4.0,2018-05-05,Clear
-13.0,ABE,2.0,2018-05-06,Rain Light
-5.333333333333333,ABE,3.0,2018-05-07,Fog Severe
5.0,ABE,1.0,2018-05-08,Clear
34.666666666666664,ABE,3.0,2018-05-09,Clear
-12.5,ABE,2.0,2018-05-10,Rain Light
-5.666666666666668,ABE,3.0,2018-05-11,Clear
-11.75,ABE,4.0,2018-05-12,Rain Light
-5.5,ABE,2.0,2018-05-13,Rain Light
-7.333333333333332,ABE,3.0,2018-05-14,Rain Light
-1.0,ABE,1.0,2018-05-15,Rain Light
21.0,ABE,3.0,2018-05-16,Rain Light
-6.5,ABE,2.0,2018-05-17,Rain Light
44.0,ABE,4.0,2018-05-18,Fog Severe
-6.333333333333332,ABE,3.0,2018-05-19,Rain Light
-3.5,ABE,2.0,2018-05-20,Rain Light
-2.5,ABE,4.0,2018-05-21,Clear
-0.5,ABE,2.0,2018-05-22,Rain Light
-1.6666666666666667,ABE,3.0,2018-05-23,Rain Light
36.5,ABE,2.0,2018-05-24,Clear
9.25,ABE,4.0,2018-05-25,Clear
2.333333333333333,ABE,3.0,2018-05-26,Fog Moderate
40.5,ABE,2.0,2018-05-27,Rain Light
58.25,ABE,4.0,2018-05-28,Fog Moderate
5.5,ABE,2.0,2018-05-29,Fog Moderate
48.0,ABE,3.0,2018-05-30,Fog Moderate
3.0,ABE,2.0,2018-05-31,Rain Light
-9.75,ABE,4.0,2018-06-01,Fog Moderate
66.0,ABE,3.0,2018-06-02,Rain Light
9.5,ABE,2.0,2018-06-03,Rain Light
8.0,ABE,4.0,2018-06-04,Rain Light
12.5,ABE,2.0,2018-06-05,Fog Severe
58.33333333333334,ABE,3.0,2018-06-06,Clear
36.0,ABE,1.0,2018-06-07,Clear
82.5,ABE,4.0,2018-06-08,Clear
33.0,ABE,3.0,2018-06-09,Clear
0.5,ABE,2.0,2018-06-10,Rain Light
20.5,ABE,4.0,2018-06-11,Rain Moderate
0.0,ABE,2.0,2018-06-12,Clear
13.0,ABE,4.0,2018-06-13,Rain Light
49.5,ABE,2.0,2018-06-14,Clear
5.75,ABE,4.0,2018-06-15,Rain Light
-9.333333333333334,ABE,3.0,2018-06-16,Clear
-11.0,ABE,2.0,2018-06-17,Clear
6.666666666666668,ABE,3.0,2018-06-18,Clear
-8.666666666666666,ABE,3.0,2018-06-19,Rain Light
16.5,ABE,4.0,2018-06-20,Rain Light
31.5,ABE,2.0,2018-06-21,Rain Light
1.0,ABE,4.0,2018-06-22,Fog Severe
-11.25,ABE,4.0,2018-06-23,Rain Light
3.0,ABE,1.0,2018-06-24,Rain Light
39.6,ABE,5.0,2018-06-25,Rain Light
25.0,ABE,2.0,2018-06-26,Clear
4.0,ABE,4.0,2018-06-27,Rain Light
69.5,ABE,2.0,2018-06-28,Rain Moderate
10.25,ABE,4.0,2018-06-29,Clear
-7.0,ABE,4.0,2018-06-30,Clear
33.0,ABE,2.0,2018-07-01,Clear
66.75,ABE,4.0,2018-07-02,Clear
28.5,ABE,2.0,2018-07-03,Clear
14.25,ABE,4.0,2018-07-04,Rain Moderate
121.5,ABE,2.0,2018-07-05,Rain Light
25.75,ABE,4.0,2018-07-06,Rain Light
12.75,ABE,4.0,2018-07-07,Clear
-11.0,ABE,2.0,2018-07-08,Clear
-1.25,ABE,4.0,2018-07-09,Clear
87.5,ABE,2.0,2018-07-10,Fog Severe
0.25,ABE,4.0,2018-07-11,Fog Severe
38.5,ABE,2.0,2018-07-12,Fog Severe
-6.0,ABE,4.0,2018-07-13,Fog Moderate
6.25,ABE,4.0,2018-07-14,Clear
161.0,ABE,1.0,2018-07-15,Rain Light
45.0,ABE,4.0,2018-07-16,Fog Moderate
7.5,ABE,2.0,2018-07-17,Rain Light
32.5,ABE,4.0,2018-07-18,Rain Light
24.5,ABE,2.0,2018-07-19,Cold Severe
65.0,ABE,4.0,2018-07-20,Clear
40.66666666666666,ABE,3.0,2018-07-21,Rain Light
12.5,ABE,2.0,2018-07-22,Rain Light
31.5,ABE,4.0,2018-07-23,Rain Light
2.5,ABE,2.0,2018-07-24,Rain Light
27.5,ABE,4.0,2018-07-25,Rain Light
2.0,ABE,2.0,2018-07-26,Rain Light
31.5,ABE,4.0,2018-07-27,Rain Light
-8.25,ABE,4.0,2018-07-28,Fog Severe
51.0,ABE,2.0,2018-07-29,Clear
-4.333333333333333,ABE,3.0,2018-07-30,Clear
7.0,ABE,3.0,2018-07-31,Clear
116.0,ABE,4.0,2018-08-01,Rain Light
45.5,ABE,2.0,2018-08-02,Rain Light
13.75,ABE,4.0,2018-08-03,Rain Light
62.0,ABE,4.0,2018-08-04,Rain Light
56.0,ABE,2.0,2018-08-05,Clear
14.0,ABE,4.0,2018-08-06,Fog Moderate
10.666666666666666,ABE,3.0,2018-08-07,Rain Light
3.75,ABE,4.0,2018-08-08,Rain Light
-15.0,ABE,2.0,2018-08-09,Rain Moderate
114.25,ABE,4.0,2018-08-10,Clear
-11.75,ABE,4.0,2018-08-11,Rain Light
26.0,ABE,2.0,2018-08-12,Clear
35.666666666666664,ABE,3.0,2018-08-13,Rain Light
4.0,ABE,4.0,2018-08-14,Rain Light
-3.25,ABE,4.0,2018-08-15,Clear
-7.5,ABE,2.0,2018-08-16,Fog Moderate
3.6666666666666665,ABE,3.0,2018-08-17,Fog Moderate
-9.0,ABE,4.0,2018-08-18,Rain Light
-5.5,ABE,2.0,2018-08-19,Rain Light
-2.6666666666666665,ABE,3.0,2018-08-20,Rain Light
-18.0,ABE,2.0,2018-08-21,Rain Light
-9.75,ABE,4.0,2018-08-22,Rain Light
-1.0,ABE,2.0,2018-08-23,Fog Moderate
-7.333333333333332,ABE,3.0,2018-08-24,Clear
58.0,ABE,4.0,2018-08-25,Clear
40.5,ABE,2.0,2018-08-26,Clear
-3.333333333333333,ABE,3.0,2018-08-27,Fog Moderate
-8.0,ABE,1.0,2018-08-28,Fog Moderate
35.0,ABE,4.0,2018-08-29,Fog Moderate
-3.5,ABE,2.0,2018-08-30,Clear
78.0,ABE,3.0,2018-08-31,Rain Light
-7.0,ABE,2.0,2018-09-01,Rain Light
1.5,ABE,2.0,2018-09-02,Rain Light
-6.666666666666668,ABE,3.0,2018-09-03,Fog Severe
12.0,ABE,1.0,2018-09-04,Clear
-2.0,ABE,1.0,2018-09-05,Clear
-8.0,ABE,2.0,2018-09-06,Rain Light
5.333333333333333,ABE,3.0,2018-09-07,Rain Light
-5.0,ABE,1.0,2018-09-08,Rain Light
1.5,ABE,2.0,2018-09-09,Rain Light
125.66666666666669,ABE,3.0,2018-09-10,Rain Light
24.0,ABE,1.0,2018-09-12,Rain Light
-5.0,ABE,2.0,2018-09-13,Clear
-12.5,ABE,2.0,2018-09-14,Clear
-3.0,ABE,1.0,2018-09-15,Clear
104.0,ABE,2.0,2018-09-16,Fog Severe
-7.666666666666668,ABE,3.0,2018-09-17,Rain Light
-9.0,ABE,1.0,2018-09-19,Clear
35.0,ABE,2.0,2018-09-20,Rain Light
-0.3333333333333333,ABE,3.0,2018-09-21,Rain Light
0.0,ABE,1.0,2018-09-22,Clear
-13.0,ABE,2.0,2018-09-23,Rain Light
-8.666666666666666,ABE,3.0,2018-09-24,Clear
107.0,ABE,1.0,2018-09-26,Rain Light
16.5,ABE,2.0,2018-09-27,Rain Light
-6.0,ABE,3.0,2018-09-28,Rain Light
-12.0,ABE,1.0,2018-09-29,Clear
12.5,ABE,2.0,2018-09-30,Clear
8.666666666666666,ABE,3.0,2018-10-01,Clear
-11.5,ABE,2.0,2018-10-03,Rain Moderate
15.5,ABE,2.0,2018-10-04,Fog Moderate
-17.333333333333332,ABE,3.0,2018-10-05,Clear
-1.0,ABE,3.0,2018-10-06,Fog Severe
-6.5,ABE,2.0,2018-10-07,Clear
-8.0,ABE,3.0,2018-10-08,Rain Light
-8.0,ABE,1.0,2018-10-09,Clear
0.5,ABE,2.0,2018-10-10,Fog Severe
-15.0,ABE,2.0,2018-10-11,Rain Light
-11.666666666666664,ABE,3.0,2018-10-12,Rain Light
-10.666666666666666,ABE,3.0,2018-10-13,Rain Light
-12.0,ABE,2.0,2018-10-14,Clear
-15.333333333333336,ABE,3.0,2018-10-15,Rain Light
-11.0,ABE,1.0,2018-10-16,Rain Light
14.5,ABE,2.0,2018-10-17,Clear
-10.0,ABE,2.0,2018-10-18,Clear
358.0,ABE,3.0,2018-10-19,Clear
36.333333333333336,ABE,3.0,2018-10-20,Rain Light
-9.5,ABE,2.0,2018-10-21,Rain Light
-7.0,ABE,3.0,2018-10-22,Clear
5.0,ABE,1.0,2018-10-23,Rain Light
-2.0,ABE,2.0,2018-10-24,Clear
3.0,ABE,2.0,2018-10-25,Clear
8.0,ABE,3.0,2018-10-26,Clear
26.0,ABE,3.0,2018-10-27,Rain Light
2.0,ABE,2.0,2018-10-28,Rain Light
-1.6666666666666667,ABE,3.0,2018-10-29,Rain Light
7.0,ABE,1.0,2018-10-30,Clear
-9.5,ABE,2.0,2018-10-31,Clear
2.0,ABE,2.0,2018-11-01,Clear
89.5,ABE,2.0,2018-11-02,Rain Light
-16.666666666666668,ABE,3.0,2018-11-03,Rain Moderate
-13.5,ABE,2.0,2018-11-04,Clear
-12.0,ABE,2.0,2018-11-05,Rain Light
-4.0,ABE,1.0,2018-11-06,Rain Light
-9.0,ABE,2.0,2018-11-07,Clear
11.0,ABE,2.0,2018-11-08,Clear
-14.0,ABE,2.0,2018-11-09,Rain Light
1.5,ABE,4.0,2018-11-10,Rain Light
-8.5,ABE,2.0,2018-11-11,Clear
-16.0,ABE,2.0,2018-11-12,Clear
-9.0,ABE,1.0,2018-11-13,Rain Light
-13.0,ABE,1.0,2018-11-14,Clear
-9.0,ABE,2.0,2018-11-15,Snow Light
-4.0,ABE,2.0,2018-11-16,Rain Light
13.6,ABE,5.0,2018-11-17,Clear
-19.5,ABE,2.0,2018-11-18,Clear
-11.5,ABE,2.0,2018-11-19,Fog Moderate
-8.5,ABE,2.0,2018-11-20,Fog Moderate
17.5,ABE,2.0,2018-11-21,Clear
-10.0,ABE,2.0,2018-11-22,Clear
49.0,ABE,1.0,2018-11-23,Clear
46.6,ABE,5.0,2018-11-24,Rain Moderate
0.0,ABE,1.0,2018-11-25,Rain Moderate
7.333333333333332,ABE,3.0,2018-11-26,Rain Light
-4.0,ABE,1.0,2018-11-28,Clear
25.5,ABE,2.0,2018-11-29,Clear
-0.5,ABE,2.0,2018-11-30,Rain Light
-3.0,ABE,2.0,2018-12-01,Rain Light
-12.0,ABE,2.0,2018-12-02,Rain Light
-1.0,ABE,2.0,2018-12-03,Fog Severe
-3.0,ABE,1.0,2018-12-04,Clear
-4.0,ABE,1.0,2018-12-05,Clear
-5.0,ABE,2.0,2018-12-06,Clear
2.5,ABE,2.0,2018-12-07,Clear
11.5,ABE,2.0,2018-12-08,Clear
-15.5,ABE,2.0,2018-12-09,Clear
-2.5,ABE,2.0,2018-12-10,Rain Light
-7.0,ABE,1.0,2018-12-11,Fog Moderate
13.0,ABE,1.0,2018-12-12,Clear
-3.5,ABE,2.0,2018-12-13,Clear
13.5,ABE,2.0,2018-12-14,Fog Moderate
-1.0,ABE,2.0,2018-12-15,Rain Light
-6.0,ABE,2.0,2018-12-16,Rain Light
0.0,ABE,2.0,2018-12-17,Clear
11.0,ABE,1.0,2018-12-18,Clear
-13.0,ABE,2.0,2018-12-19,Clear
18.5,ABE,2.0,2018-12-20,Rain Light
-0.5,ABE,2.0,2018-12-21,Rain Moderate
30.33333333333333,ABE,3.0,2018-12-22,Rain Light
6.666666666666668,ABE,3.0,2018-12-23,Clear
-12.5,ABE,2.0,2018-12-24,Rain Light
-13.5,ABE,2.0,2018-12-25,Clear
12.0,ABE,2.0,2018-12-26,Clear
-6.5,ABE,2.0,2018-12-27,Fog Moderate
21.5,ABE,2.0,2018-12-28,Rain Light
33.666666666666664,ABE,3.0,2018-12-29,Fog Severe
-1.6666666666666667,ABE,3.0,2018-12-30,Snow Light
-15.0,ABE,2.0,2018-12-31,Rain Light
-13.5,ABE,2.0,2019-01-01,Rain Moderate
5.0,ABE,2.0,2019-01-02,Clear
12.0,ABE,2.0,2019-01-03,Clear
-2.0,ABE,2.0,2019-01-04,Clear
-0.3333333333333333,ABE,3.0,2019-01-05,Rain Light
40.0,ABE,2.0,2019-01-06,Clear
0.0,ABE,2.0,2019-01-07,Clear
58.0,ABE,1.0,2019-01-08,Rain Light
-9.0,ABE,1.0,2019-01-09,Rain Light
0.5,ABE,2.0,2019-01-10,Clear
3.5,ABE,2.0,2019-01-11,Clear
-6.0,ABE,2.0,2019-01-12,Clear
-8.5,ABE,2.0,2019-01-13,Snow Light
-5.0,ABE,2.0,2019-01-14,Clear
-5.0,ABE,1.0,2019-01-15,Clear
-6.0,ABE,1.0,2019-01-16,Clear
7.5,ABE,2.0,2019-01-17,Clear
-1.0,ABE,2.0,2019-01-18,Snow Light
-14.5,ABE,2.0,2019-01-19,Snow Light
-14.0,ABE,2.0,2019-01-20,Rain Light
5.0,ABE,2.0,2019-01-21,Clear
-6.0,ABE,1.0,2019-01-22,Precipitation UNK
-18.0,ABE,1.0,2019-01-23,Clear
12.0,ABE,2.0,2019-01-24,Rain Light
-5.5,ABE,2.0,2019-01-25,Clear
86.0,ABE,2.0,2019-01-26,Rain Light
0.0,ABE,2.0,2019-01-27,Clear
-6.0,ABE,2.0,2019-01-28,Clear
-14.0,ABE,1.0,2019-01-29,Snow Light
-3.0,ABE,1.0,2019-01-30,Snow Heavy
-8.0,ABE,2.0,2019-01-31,Clear
-6.5,ABE,2.0,2019-02-01,Snow Heavy
-7.5,ABE,2.0,2019-02-02,Fog Moderate
4.0,ABE,2.0,2019-02-03,Fog Moderate
7.0,ABE,2.0,2019-02-04,Fog Moderate
1.0,ABE,1.0,2019-02-05,Fog Moderate
-19.0,ABE,1.0,2019-02-06,Rain Light
7.5,ABE,2.0,2019-02-07,Rain Light
-8.5,ABE,2.0,2019-02-08,Rain Light
-11.333333333333336,ABE,3.0,2019-02-09,Clear
-11.0,ABE,2.0,2019-02-10,Rain Light
-9.5,ABE,2.0,2019-02-11,Fog Moderate
0.0,ABE,1.0,2019-02-12,Snow Light
159.33333333333334,ABE,3.0,2019-02-13,Rain Light
-5.666666666666668,ABE,3.0,2019-02-14,Clear
64.66666666666667,ABE,3.0,2019-02-15,Clear
7.75,ABE,4.0,2019-02-16,Clear
-13.0,ABE,3.0,2019-02-17,Rain Light
9.0,ABE,3.0,2019-02-18,Rain Light
-3.0,ABE,1.0,2019-02-19,Clear
61.0,ABE,3.0,2019-02-20,Snow Light
-4.0,ABE,3.0,2019-02-21,Rain Light
-10.0,ABE,3.0,2019-02-22,Clear
-12.25,ABE,4.0,2019-02-23,Rain Light
16.666666666666668,ABE,3.0,2019-02-24,Rain Light
-9.333333333333334,ABE,3.0,2019-02-25,Clear
-11.5,ABE,2.0,2019-02-26,Clear
7.0,ABE,3.0,2019-02-27,Clear
-8.333333333333334,ABE,3.0,2019-02-28,Snow Light
-2.0,ABE,3.0,2019-03-01,Snow Light
12.0,ABE,4.0,2019-03-02,Snow Light
14.333333333333336,ABE,3.0,2019-03-03,Fog Moderate
-9.0,ABE,3.0,2019-03-04,Snow Light
-6.0,ABE,2.0,2019-03-05,Clear
23.0,ABE,3.0,2019-03-06,Clear
25.0,ABE,3.0,2019-03-07,Precipitation UNK
-2.333333333333333,ABE,3.0,2019-03-08,Snow Light
-4.6,ABE,5.0,2019-03-09,Fog Moderate
-4.666666666666667,ABE,3.0,2019-03-10,Rain Light
-5.333333333333333,ABE,3.0,2019-03-11,Fog Severe
2.0,ABE,3.0,2019-03-12,Clear
14.0,ABE,4.0,2019-03-13,Clear
52.33333333333334,ABE,3.0,2019-03-14,Clear
-14.666666666666664,ABE,3.0,2019-03-15,Rain Light
1.8,ABE,5.0,2019-03-16,Rain Moderate
-12.333333333333336,ABE,3.0,2019-03-17,Clear
-8.666666666666666,ABE,3.0,2019-03-18,Clear
-16.333333333333332,ABE,3.0,2019-03-19,Clear
2.0,ABE,4.0,2019-03-20,Clear
-8.666666666666666,ABE,3.0,2019-03-21,Rain Light
5.333333333333333,ABE,3.0,2019-03-22,Rain Light
11.4,ABE,5.0,2019-03-23,Rain Light
-11.0,ABE,3.0,2019-03-24,Clear
7.333333333333332,ABE,3.0,2019-03-25,Rain Light
-13.333333333333336,ABE,3.0,2019-03-26,Clear
0.5,ABE,4.0,2019-03-27,Clear
0.3333333333333333,ABE,3.0,2019-03-28,Clear
-2.6666666666666665,ABE,3.0,2019-03-29,Rain Light
-3.8,ABE,5.0,2019-03-30,Fog Moderate
-19.0,ABE,3.0,2019-03-31,Rain Light
12.0,ABE,3.0,2019-04-01,Clear
-6.333333333333332,ABE,3.0,2019-04-02,Clear
-1.5,ABE,4.0,2019-04-03,Fog Moderate
10.333333333333334,ABE,3.0,2019-04-04,Fog Moderate
-9.5,ABE,4.0,2019-04-05,Rain Light
-8.2,ABE,5.0,2019-04-06,Fog Severe
31.66666666666667,ABE,3.0,2019-04-07,Clear
-3.25,ABE,4.0,2019-04-08,Rain Light
-6.0,ABE,3.0,2019-04-09,Rain Light
-3.75,ABE,4.0,2019-04-10,Clear
-0.6666666666666666,ABE,3.0,2019-04-11,Clear
2.75,ABE,4.0,2019-04-12,Rain Light
-8.8,ABE,5.0,2019-04-13,Rain Light
22.0,ABE,3.0,2019-04-14,Fog Moderate
-6.0,ABE,4.0,2019-04-15,Rain Light
7.0,ABE,3.0,2019-04-16,Rain Light
18.75,ABE,4.0,2019-04-17,Rain Light
54.0,ABE,3.0,2019-04-18,Clear
66.33333333333333,ABE,3.0,2019-04-19,Rain Moderate
-5.0,ABE,5.0,2019-04-20,Rain Light
62.0,ABE,3.0,2019-04-21,Clear
29.25,ABE,4.0,2019-04-22,Cold Severe
2.333333333333333,ABE,3.0,2019-04-23,Clear
6.0,ABE,2.0,2019-04-24,Rain Light
3.333333333333333,ABE,3.0,2019-04-25,Rain Light
-1.0,ABE,4.0,2019-04-26,Rain Light
-8.2,ABE,5.0,2019-04-27,Rain Light
-6.333333333333332,ABE,3.0,2019-04-28,Rain Light
0.25,ABE,4.0,2019-04-29,Clear
-1.0,ABE,1.0,2019-04-30,Rain Light
-12.5,ABE,2.0,2019-05-01,Clear
12.333333333333336,ABE,3.0,2019-05-02,Fog Severe
0.0,ABE,4.0,2019-05-03,Fog Severe
100.0,ABE,4.0,2019-05-06,Rain Light
0.0,ABE,1.0,2019-05-07,Fog Severe
10.0,ABE,2.0,2019-05-08,Precipitation UNK
-16.666666666666668,ABE,3.0,2019-05-09,Rain Light
18.25,ABE,4.0,2019-05-10,Rain Light
-8.0,ABE,4.0,2019-05-11,Rain Light
-8.333333333333334,ABE,3.0,2019-05-12,Rain Light
14.25,ABE,4.0,2019-05-13,Rain Light
16.0,ABE,1.0,2019-05-14,Rain Light
3.6666666666666665,ABE,3.0,2019-05-15,Clear
2.5,ABE,2.0,2019-05-16,Rain Light
-2.0,ABE,5.0,2019-05-17,Clear
-8.4,ABE,5.0,2019-05-18,Clear
16.0,ABE,2.0,2019-05-19,Clear
65.2,ABE,5.0,2019-05-20,Rain Light
-2.0,ABE,2.0,2019-05-21,Clear
-1.25,ABE,4.0,2019-05-22,Clear
22.5,ABE,2.0,2019-05-23,Rain Light
-5.6,ABE,5.0,2019-05-24,Clear
-7.8,ABE,5.0,2019-05-25,Clear
-1.0,ABE,2.0,2019-05-26,Rain Light
-8.0,ABE,5.0,2019-05-27,Rain Light
-10.0,ABE,2.0,2019-05-28,Fog Moderate
92.75,ABE,4.0,2019-05-29,Rain Light
-1.5,ABE,2.0,2019-05-30,Rain Light
15.4,ABE,5.0,2019-05-31,Rain Moderate
-3.8,ABE,5.0,2019-06-01,Clear
7.0,ABE,2.0,2019-06-02,Rain Light
-8.4,ABE,5.0,2019-06-03,Rain Moderate
-6.5,ABE,2.0,2019-06-04,Clear
-6.5,ABE,4.0,2019-06-05,Clear
-14.5,ABE,2.0,2019-06-06,Clear
4.2,ABE,5.0,2019-06-07,Fog Moderate
14.0,ABE,6.0,2019-06-08,Fog Moderate
0.0,ABE,2.0,2019-06-09,Clear
-7.6,ABE,5.0,2019-06-10,Rain Light
-2.0,ABE,2.0,2019-06-11,Rain Light
-5.333333333333333,ABE,6.0,2019-06-12,Clear
17.5,ABE,2.0,2019-06-13,Rain Light
80.33333333333333,ABE,6.0,2019-06-14,Rain Light
8.166666666666666,ABE,6.0,2019-06-15,Rain Light
19.5,ABE,2.0,2019-06-16,Rain Light
6.666666666666668,ABE,6.0,2019-06-17,Rain Light
58.0,ABE,2.0,2019-06-18,Rain Light
62.5,ABE,6.0,2019-06-19,Rain Light
54.5,ABE,2.0,2019-06-20,Rain Light
-2.5,ABE,6.0,2019-06-21,Rain Light
31.5,ABE,6.0,2019-06-22,Clear
-7.5,ABE,2.0,2019-06-23,Clear
34.166666666666664,ABE,6.0,2019-06-24,Clear
-10.0,ABE,2.0,2019-06-25,Rain Light
-7.5,ABE,6.0,2019-06-26,Rain Light
-8.0,ABE,2.0,2019-06-27,Clear
8.333333333333334,ABE,6.0,2019-06-28,Rain Heavy
-4.333333333333333,ABE,6.0,2019-06-29,Fog Severe
55.5,ABE,2.0,2019-06-30,Clear
209.33333333333331,ABI,6.0,2018-01-01,Clear
